,pmid,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,abstract,year
0,41803188,2026 Mar 9,2026 Mar 9,Sci Rep,"['Abel R', 'Niederer D', 'Glowa A', 'Hansen N', 'Wilke C', 'Offerhaus C']",Offerhaus C,Effectiveness of exercise prehabilitation before anterior cruciate ligament reconstruction on functional outcomes - a single-blinded randomized controlled trial.,16,1,,['English'],101563288,,2045-2322,['Journal Article'],PubMed - in process,epublish,"['41803188', 'PMC12987922', 'pmc-id: PMC12987922;', '10.1038/s41598-026-41576-2', '10.1038/s41598-026-41576-2']",10.1038/s41598-026-41576-2,"['2025/05/16 00:00', '2026/02/20 00:00', '2026/03/10 07:00', '2026/03/10 07:00', '2026/03/10 00:19', '2026/03/09 00:00']",[],1,50,Scientific reports,doi: 10.1038/s41598-026-41576-2,2026 Mar 9;16(1),"Objective: To compare the effectiveness of an individually tailored, adaptive, guided, structured and criteria-based preoperative rehabilitation program (IG) to a structured, non-guided, self-administered home training program (CG) in individuals after an anterior cruciate ligament (ACL) rupture. Methods: We enrolled participants 16 to 60 years with a unilateral ACL rupture, scheduled for reconstruction using a hamstring or quadriceps tendon autograft. They were assessor-blinded 1:1 block-randomized to the IG or the CG. Self-reported knee function, assessed using the Knee injury and Osteoarthritis Outcome Score (KOOS), was the primary outcome. Secondary outcomes included functional measures (range of motion, muscle strength, functional limb asymmetries, and hopping ability) as well as self-reported psychological readiness to return to sport. Parameters were assessed at up to seven time points: anamnesis in the hospital, 1 to 7 days before the surgery, on the day of surgery, 30, 60, 90, and 180 days post-surgery. Intention-to-treat based linear mixed models were calculated using the change scores since anamnesis. Results: Of 114 enrolled participants (mean age = 31.03, SD = 10.30 years; 53% females), 58 participants discontinued intervention or dropped out. The IG (KOOS score anamnesis: 46.04, 95% confidence interval = [45.07 to 47.02]; pre-reconstruction: 58.52, [57.51 to 59.54]) demonstrated a more pronounced preoperative improvement in the KOOS score compared to the CG (51.01, [50.10 to 51.92]; 59.18, [58.40 to 59.96]). The interaction (group*time) of the KOOS sum score differed for the change score to the surgery day (p = 0.039) and to 60 days postoperative (p = 0.039). Conclusion: The individually tailored preoperative rehabilitation program may improve perceived knee function more than self-guided training. Caution and future research are needed as the effects were small. Trial registration: German Register of Clinical Trials, DRKSID: DRKS00030312, Date of registration in DRKS 26.09.2022. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1038/s41598-026-41576-2.",2026
1,41761462,2026 Mar,,J Orthop Res,"['Dennis JD', 'Edison AE', 'Birchmeier TB', 'Pietrosimone BG', 'Blackburn JT']",Blackburn JT,Whole Body Vibration Acutely Decreases Medial Tibiofemoral Contact Force During Walking Following Anterior Cruciate Ligament Reconstruction.,44,3,e70166,['English'],8404726,0736-0266,1554-527X,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,ppublish,"['41761462', '10.1002/jor.70166']",10.1002/jor.70166,"['2026/01/29 00:00', '2025/10/22 00:00', '2026/02/17 00:00', '2026/03/06 09:11', '2026/02/28 06:34', '2026/02/28 00:42']",[],1,0,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,doi: 10.1002/jor.70166,2026 Mar;44(3):e70166,"Investigating the loading environment of the tibiofemoral joint is critical following anterior cruciate ligament reconstruction (ACLR), given these individuals incur a high risk of post-traumatic osteoarthritis (PTOA). Whole-body vibration (WBV) and local muscle (LMV) vibration acutely improve isometric quadriceps function and gait biomechanics linked to PTOA development, but it is unclear how vibration affects tibiofemoral contact and quadriceps forces during walking. Participants with unilateral, primary ACLR were randomized to control (n = 21, time since ACLR = 23 +/- 15), WBV (n = 25, time since ACLR = 27 +/- 15), or LMV (n = 23, time since ACLR = 31 +/- 16) groups, and walking biomechanics were assessed before and immediately following the respective interventions. Peak medial, lateral, and total tibiofemoral contact forces, as well as rectus femoris, vastus medialis, vastus intermedius, and vastus lateralis forces, were compared between groups and across time with 2 x 3 repeated measure ANCOVAs while controlling for gait speed and time since ACLR. Medial contact force decreased following WBV (mean difference = -0.219, p = 0.001, d = -0.643) but was unaltered by LMV. Peak lateral contact, total contact, and quadriceps forces were unaltered by WBV or LMV (p > 0.05). Greater medial contact forces during gait have been implicated in the development of idiopathic osteoarthritis, and individuals with ACLR often exhibit signs of limb overloading in the later stages of recovery (e.g., > 2 years post-ACLR). WBV may offer a targeted strategy to reduce PTOA risk in those who overload the ACLR limb by decreasing medial knee compartment loading.",2026
2,41682670,2026 Jan 26,2026 Jan 26,J Clin Med,"['Blanco-López L', 'Nácher-Moltò I', 'Sánchez-González JL', 'Casado-Gómez D', 'Cases-Sebastià A', 'Reina-Abellán J']",Reina-Abellán J,Effectiveness of Transcutaneous and Percutaneous Electrical Nerve Stimulation as Adjunct Therapies in Patients After Anterior Cruciate Ligament Reconstruction: Study Protocol for a Randomized Controlled Trial.,15,3,,['English'],101606588,2077-0383,2077-0383,['Journal Article'],PubMed,epublish,"['41682670', 'PMC12897853', 'pmc-id: PMC12897853;', '10.3390/jcm15030989', 'jcm15030989']",10.3390/jcm15030989,"['2025/12/23 00:00', '2026/01/15 00:00', '2026/01/23 00:00', '2026/02/13 06:33', '2026/02/13 06:32', '2026/02/13 01:06', '2026/01/26 00:00']",[],1,94,Journal of clinical medicine,doi: 10.3390/jcm15030989,2026 Jan 26;15(3),"Background/Objectives: Quadriceps arthrogenic muscle inhibition (AMI) represents a key impairment following anterior cruciate ligament reconstruction (ACLR), contributing to quadriceps weakness. Although transcutaneous electrical nerve stimulation (TENS) and percutaneous electrical nerve stimulation (PENS) have been primarily investigated for analgesia, their effects on quadriceps strength in the early postoperative period remain underexplored. Methods: This study describes a single-blinded, parallel-group randomized controlled trial investigating the short-term effects of a single high-frequency TENS session and a novel long-term potentiation (LTP) PENS protocol on quadriceps strength and related clinical outcomes after ACLR. Fifty-four participants will be randomly allocated using block randomization in a 1:1:1 ratio to one of three groups: a control group (conventional post-ACLR rehabilitation only), a TENS group (conventional rehabilitation plus a single high-frequency TENS session), or a PENS group (conventional rehabilitation plus a single LTP PENS session). Participants will receive neuromodulatory intervention during the sixth postoperative week. The LTP PENS protocol consists of five 5 s stimulation bursts at 100 Hz and 250 mus pulse width and has only been investigated once in patients with upper limb pathology, underscoring its novelty in a postoperative setting. Results: The primary outcome is quadriceps maximal voluntary isometric contraction, selected as a clinically relevant surrogate of quadriceps activation deficits associated with AMI. Secondary outcomes include pain intensity, pressure pain threshold, knee range of motion, thigh muscle perimeter, knee effusion and swelling, and self-reported function and knee-related quality of life. Outcomes will be assessed at baseline, immediately post-treatment, and 1 and 7 days post-intervention by a blinded assessor.",2026
3,41562143,2026 Jan 21,2026 Jan 21,Knee Surg Sports Traumatol Arthrosc,"['Vendrig T', 'Keizer MNJ', 'Brouwer RW', 'Houdijk H', 'Hoogeslag RAG']",Hoogeslag RAG,Similar dynamic tibiofemoral movements during jump-landing and walking but distinct hamstrings strength across ACL reconstruction autograft types at mid-term follow-up.,,,,['English'],9314730,0942-2056,1433-7347,['Journal Article'],PubMed - as supplied by publisher,aheadofprint,"['41562143', '10.1002/ksa.70275']",10.1002/ksa.70275,"['2025/12/08 00:00', '2025/10/13 00:00', '2025/12/17 00:00', '2026/01/21 06:30', '2026/01/21 06:30', '2026/01/21 05:13']",[],1,0,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",doi: 10.1002/ksa.70275,2026 Jan 21;,"PURPOSE: Dynamic tibiofemoral movements following anterior cruciate ligament reconstruction (ACLR) with quadriceps tendon (QT) autografts have not yet been compared to other autografts. We aimed to compare dynamic anterior tibial translation (ATTd) and internal tibial rotation (ITRd) during jump-landing and walking among patients with QT, bone-patellar tendon-bone (BPTB) and hamstrings tendon (HT) autografts at mid-term follow-up. The secondary aim was to compare lower extremity strength among autografts. METHODS: Patients were included from a previous randomized controlled trial (randomly received primary ACLR with a QT, BPTB or HT autograft), and were prospectively assessed for additional analyses. Primary outcome measures were side-to-side differences in ATTd and ITRd during the side hop, single-leg hop for distance, triple hop for distance, double-leg drop-jump and walking, measured using 3D optoelectronic motion capture, and statistically analyzed using statistical parametric mapping. Moreover, isometric hamstrings and quadriceps strength limb symmetry index (LSI) were assessed using a dynamometer. RESULTS: Thirty patients were included at 4.7 +/- 1.8 years (range: 1.4-7.2) post-ACLR (n = 10 per autograft; age: 31.0 +/- 4.8 years). No significant between-group differences were observed for side-to-side difference in ATTd and ITRd during all dynamic tasks (p > 0.05). QT and BPTB autograft groups demonstrated greater isometric hamstrings strength LSI (QT = 98.4% vs. BPTB = 99.3% vs. HT = 79.0%; p = 0.02) and greater hamstrings/quadriceps strength ratio LSI (QT = 102.0% vs. BPTB = 104.6% vs. HT = 79.6%; p = 0.01) compared to the HT autograft, but quadriceps strength was similar among autografts. CONCLUSIONS: Patients who underwent ACLR with QT autografts demonstrated similar side-to-side differences in ATTd and ITRd compared to patients with BPTB and HT autografts 5 years post-ACLR, without demonstrating graft-harvest-related strength deficits, whereas patients with HT autografts showed persistent hamstrings weakness. Graft selection should consider persistent hamstrings strength deficits in patients with HT autografts, while ATTd and ITRd are not autograft-dependent. These findings support QT autografts as a viable option for ACLR. LEVEL OF EVIDENCE: Level II.",2026
4,41522461,2026 Jan,2026 Jan 8,Orthop J Sports Med,"['Johns WL', 'Voskeridjian A', 'Miltenberg B', 'Muchintala R', 'Dodson CC', 'Cohen SB', 'Salvo J', 'Sherman M', 'Ciccotti MG', 'Hammoud S']",Hammoud S,"Regional Anesthesia Utilizing Liposomal Bupivacaine, With or Without Dexamethasone, Provides Excellent Pain Control and Minimizes Opioid Consumption Following Anterior Cruciate Ligament Reconstruction.",14,1,23259671251401596,['English'],101620522,2325-9671,2325-9671,['Journal Article'],PubMed,,"['41522461', 'PMC12783584', 'pmc-id: PMC12783584;', '10.1177/23259671251401596', '10.1177_23259671251401596']",10.1177/23259671251401596,"['2025/10/23 00:00', '2025/10/28 00:00', '2026/01/12 06:30', '2026/01/12 06:29', '2026/01/12 05:37', '2026/01/08 00:00']",[],1,42,Orthopaedic journal of sports medicine,doi: 10.1177/23259671251401596,2026 Jan;14(1):23259671251401596,"BACKGROUND: Perioperative nerve blocks are commonly used for regional analgesia with anterior cruciate ligament (ACL) reconstruction (ACLR). Liposomal bupivacaine (LB) is a long-acting anesthetic agent providing up to 72 hours of nerve blockade. It is theorized that the addition of dexamethasone to LB (LB+dex) may prolong the analgesic duration. PURPOSE: To characterize pain control and opioid consumption with adductor canal block (ACB), interspace between the popliteal artery and capsule of the posterior knee (iPACK), and suprasartorial infiltration (SSI) regional anesthetic techniques utilizing LB after ACLR and to compare LB versus LB+dex. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: Patients undergoing primary ACLR using bone-patellar tendon-bone or quadriceps tendon autograft were included. All patients received an ACB, iPACK, and SSI preoperatively. Patients were randomized to receive either LB or LB+dex for their anesthetic agent. Opioid consumption, visual analog scale (VAS) scores, pain control satisfaction, and duration of block effect were recorded postoperatively. RESULTS: A total of 131 patients were included in the analysis. The mean opioid consumption for all patients was 1.20 +/- 2.42 five-mg oxycodone tablets (8.97 +/- 18.12 morphine milliequivalents [MME]). We did not observe a significant difference in oxycodone consumption between cohorts during the study period (1.42 +/- 2.92 vs 0.97 +/- 1.91; 10.65 +/- 21.90 MME vs 7.28 +/- 14.33 MME; P = .76). An estimated 95.2% of opioids prescribed went unused and 77.1% (101/131) of patients consumed no opioids. There was no significant difference in VAS score, patient satisfaction, or duration of block effect between cohorts. CONCLUSION: A single shot of LB with or without dexamethasone via ACB, SSI, and iPACK block provided excellent pain control and minimized opioid consumption after autograft ACLR. Nearly 80% of patients did not require opioids postoperatively, making opioid-free ACLR a realistic possibility for many patients. When narcotics were required, the dose of opioids was minimal; patients required 1.2 tablets of oxycodone on average, and >95% of the opioids prescribed went unused. Despite previous reports suggesting a prolonged duration of anesthetic effect when LB is combined with dexamethasone, we found no difference in opioid consumption, VAS score, patient satisfaction, or duration of block effect when patients received dexamethasone with their regional block. The utilization of regional anesthetic techniques such as ACB, SSI, and iPACK blocks in conjunction with LB-based anesthetics could allow providers to curtail or potentially eliminate opioid prescriptions after ACL surgery. REGISTRATION: NCT06006624 (ClinicalTrials.gov identifier).",2026
5,41507831,2026 Jan 9,2026 Jan 9,BMC Musculoskelet Disord,"['Zhang S', 'Zhao Y', 'Li W', 'Bai R', 'Shi C', 'Han J', 'Zhang Y', 'Mi J']",Mi J,Effect of repetitive transcranial magnetic stimulation on quadriceps function in participants in the early postoperative period after anterior cruciate ligament reconstruction: a randomized controlled trial.,27,1,113,['English'],100968565,,1471-2474,"['Journal Article', 'Randomized Controlled Trial']",PubMed - indexed for MEDLINE,epublish,"['41507831', 'PMC12882163', 'pmc-id: PMC12882163;', '10.1186/s12891-025-09478-y', '10.1186/s12891-025-09478-y']",10.1186/s12891-025-09478-y,"['2025/05/26 00:00', '2025/12/31 00:00', '2026/02/07 06:33', '2026/01/09 00:26', '2026/01/08 23:45', '2026/01/09 00:00']",[],1,43,BMC musculoskeletal disorders,doi: 10.1186/s12891-025-09478-y,2026 Jan 9;27(1):113,"BACKGROUND: Insufficient quadriceps activation is likely to occur in the early postoperative period after anterior cruciate ligament reconstruction (ACLR). Transcranial magnetic stimulation (TMS) has a positive effect on the activation and contractility of the quadriceps femoris. To investigate the effect of repetitive transcranial magnetic stimulation (rTMS) on quadriceps femoris function in participants during the early postoperative period following anterior cruciate ligament reconstruction (ACLR). METHODS: Fifty six participants received rehabilitation education and a recommended routine training and knee flexion and extension exercise plan. In addition to this, the REAL group received 2 weeks of transcranial magnetic stimulation treatment. The resting motor threshold (RMT), root mean square (RMS) value, difference in knee extension angle between the healthy and affected sides, visual analog scale (VAS) score, and difference in the circumference of the vastus medialis oblique between the healthy and affected sides were assessed at baseline and 2 weeks after treatment. RESULTS: Compared with those in the SHAM group, the improvements in the RMT and RMS value of the vastus medialis oblique, the difference in the knee extension angle between the healthy and affected sides, and the VAS score in the REAL group were more significant (p < 0.001). There was no significant between-group difference in the difference in the circumference of the vastus medialis oblique between the healthy and affected sides (p > 0.05). CONCLUSION: The use of rTMS, the goal of which is to increase the excitability of the corticospinal pathway, can promote the activation of the quadriceps femoris, prevent muscle atrophy, and accelerate the recovery of muscle strength in participants in the early postoperative period after ACLR. TRIAL REGISTRATION: The Registration number of the Chinese Clinical Trial Registry is ChiCTR2300076522, 11/10/2023.",2026
6,41397740,2025 Dec 14,2025 Dec 14,BMJ Open,"['Han X', 'Cao W', 'Jin W', 'Hu K', 'Xu R', 'Sun C']",Sun C,"Multilayer low-stretch bandage combined with conventional rehabilitation to promote functional recovery after knee surgery: study protocol for a prospective, single-blind, randomised controlled trial.",15,12,e107906,['English'],101552874,,2044-6055,"['Journal Article', 'Clinical Trial Protocol']",PubMed - indexed for MEDLINE,epublish,"['41397740', 'PMC12706197', 'pmc-id: PMC12706197;', '10.1136/bmjopen-2025-107906', 'bmjopen-2025-107906']",10.1136/bmjopen-2025-107906,"['2025/12/16 00:35', '2025/12/16 00:34', '2025/12/15 20:33', '2025/12/14 00:00']",[],1,32,BMJ open,doi: 10.1136/bmjopen-2025-107906,2025 Dec 14;15(12):e107906,"INTRODUCTION: Patients undergoing anterior cruciate ligament reconstruction (ACLR) and patellar fracture frequently present with substantial pain, swelling and inflammation. These pathophysiological changes not only intensify postoperative pain but also compromise the intra-articular environment via mechanical compression and localised microcirculatory deficits, thereby impeding recovery. Conventional interventions for postoperative swelling, such as cryotherapy and physical agent modalities, are commonly applied yet exhibit limited efficacy. Multilayer low-stretch bandage (MLB), with its gradient compression properties, has recently demonstrated superior swelling control and functional restoration; however, existing research primarily assesses short-term outcomes and lacks a systematic analysis across the postoperative continuum-acute, subacute and chronic phases-as well as long-term follow-up. This study therefore employs a multi-temporal intervention design and extended follow-up to evaluate the effectiveness of MLB in managing swelling, modulating pain and enhancing long-term knee function and activities of daily living across different recovery stages. The findings aim to furnish high-level evidence for knee rehabilitation protocols, refine clinical practice and ultimately improve patient quality of life. METHODS AND ANALYSIS: This prospective, single-blind, randomised controlled trial will enrol 36 patients following ACLR and patellar fracture. Participants will be allocated at a 1:1 ratio through computerised randomisation to either an experimental group receiving MLB plus conventional rehabilitation, or a control group receiving conventional rehabilitation alone. The study spans 12 weeks, with follow-up assessments scheduled at baseline (T0), 4 weeks (T1), 8 weeks (T2) and 12 weeks (T3). Outcome measures comprise the Hospital for Special Surgery (HSS) Knee Rating Score, affected limb oedema regression rate, Visual Analogue Scale (VAS) pain score, knee range of motion, quadriceps and hamstring muscle strength, centre of pressure (COP) displacement parameters, proprioceptive testing, the 36-Item Short Form Health Survey (SF-36) and the Holden Walking Function Classification. A subsequent 1-year follow-up will assess long-term efficacy and patient satisfaction, while adverse events are strictly monitored throughout the entire study period. Adherence to Consolidated Standards of Reporting Trials guidelines is maintained, and a single-blind design ensures that both participants and assessors remain unaware of group assignments. This trial aims to establish an evidence-based foundation for optimising postoperative rehabilitation in this patient population. ETHICS AND DISSEMINATION: Ethical approval for the study was obtained from the Medical Ethics Committee of Nanjing Drum Tower Hospital, the Affiliated Hospital of Nanjing University Medical School (2025-0141-01). The results of the study will be published in a peer-reviewed medical journal. TRIAL REGISTRATION NUMBER: ClinicalTrials.gov chiCTR2500100566. Registration date is 10 April 2025.",2025
7,41373251,2025 Nov 24,2025 Nov 24,Healthcare (Basel),"['Alshehri NA', 'Alshehri SA', 'Abdelsalam AM', 'Gouda NMIM', 'Alshehri AM', 'Alrasheed AA', 'Almutairi JS', 'Almunif DS', 'Alsadhan KF']",Alsadhan KF,Effects of Kinesiology Tape on Quadriceps Muscle Strength in Female Futsal Players: A Longitudinal Pilot Randomized Controlled Trial.,13,23,,['English'],101666525,2227-9032,2227-9032,['Journal Article'],PubMed,epublish,"['41373251', 'PMC12691829', 'pmc-id: PMC12691829;', '10.3390/healthcare13233035', 'healthcare13233035']",10.3390/healthcare13233035,"['2025/09/21 00:00', '2025/11/18 00:00', '2025/11/21 00:00', '2025/12/11 07:44', '2025/12/11 07:43', '2025/12/11 01:01', '2025/11/24 00:00']",[],1,43,"Healthcare (Basel, Switzerland)",doi: 10.3390/healthcare13233035,2025 Nov 24;13(23),"Background/Objective: Kinesiology tape (KT) is commonly used in sports medicine and rehabilitation, but its impact on muscle strength over time remains unclear. Female futsal athletes experience high quadriceps demands and are at risk of anterior cruciate ligament injury; however, this population remains understudied. The purpose of this study was to investigate the longitudinal effect of repeated kinesiology taping applications on quadriceps muscle strength and lower limb function in female futsal players. Method: A longitudinal pilot randomized controlled trial was conducted during the Saudi Universities Sports Federation Futsal Championship. Twelve female athletes (aged 19-25 years) were randomly allocated to a KT (n = 6) or control group (n = 6). The KT protocol followed the standardized quadriceps facilitation guidelines and was applied repeatedly over 30 days. We measured isometric strength (hand-held dynamometer), eccentric/concentric torque and power (Biodex System), and functional performance (single-leg hop). Nonparametric tests (Wilcoxon signed-rank and Mann-Whitney U) and mixed ANOVA were used for analysis. Result: Post-intervention, the KT group demonstrated significant improvements in isometric strength (p = 0.03, r = 0.90), eccentric/concentric strength (p = 0.03, r = 0.90), and lower limb function (p = 0.03, r = 0.90). The between-group comparisons showed significant advantages for the KT group in isometric (p = 0.01, r = 0.83) and eccentric/concentric strength (p < 0.05, r = 0.67-0.74), but not in lower limb function (p = 0.20, r = 0.37). Conclusions: Repeated kinesiology taping over a 30-day period led to statistically greater longitudinal improvements in quadriceps muscle strength but did not affect functional performance. Kinesiology taping represents a non-invasive, low-cost treatment option for quadriceps strength measures in sports characterized by higher demands on the quadriceps, especially for female athletes with contributing injury risks. Further trials with more participants and a longer follow-up should be conducted.",2025
8,41327264,2025 Dec 1,2025 Dec 1,J Orthop Surg Res,"['Ayeni OR', 'SQuASH Investigators']",Ayeni OR,Soft-tissue quadriceps tendon autograft during primary anterior cruciate ligament reconstruction in Skeletally-immature patients vs. Hamstrings: A protocol for a multi-centre randomized controlled trial.,21,1,6,['English'],101265112,,1749-799X,"['Journal Article', 'Clinical Trial Protocol']",PubMed - indexed for MEDLINE,epublish,"['41327264', 'PMC12772096', 'pmc-id: PMC12772096;', '10.1186/s13018-025-06534-0', '10.1186/s13018-025-06534-0']",10.1186/s13018-025-06534-0,"['2025/09/12 00:00', '2025/11/10 00:00', '2026/01/06 19:18', '2025/12/02 07:37', '2025/12/02 00:02', '2025/12/01 00:00']",[],1,99,Journal of orthopaedic surgery and research,doi: 10.1186/s13018-025-06534-0,2025 Dec 1;21(1):6,"BACKGROUND: ACL tears in skeletally-immature patients are often treated surgically using soft-tissue autografts to offset increased risks of cartilage, meniscus and physeal injuries. Despite technological innovation, there remains a high failure rate among active young patients. We present a randomized controlled trial (RCT) to evaluate the soft-tissue quadriceps autograft compared to the standard hamstring autograft to treat primary ACL tears in the pediatric population. METHODS: This international RCT will evaluate 352 skeletally-immature patients between the ages of 10-18 years undergoing primary ACL reconstruction to compare the effect of hamstring versus soft-tissue quadriceps autografts on ACL failure rate as a primary outcome, and return to sport, knee function, knee pain, health-related quality of life and health utility, range of motion and stability, and other adverse events at 24 months as secondary outcomes. Follow-up will occur at 6 weeks and 6, 12, 18, and 24 months postoperatively. DISCUSSION: This trial will inform the optimal primary surgical management for ACL injuries as it pertains to all soft-tissue graft selection, to not only reduce the relatively high failure rates, but also improve the function and return-to-sports in this young, active population. TRIAL REGISTRATION: This trial was registered on ClinicalTrials.gov (NCT03896464) on March 27th, 2019.",2025
9,41083992,2025 Oct 13,2025 Oct 13,BMC Musculoskelet Disord,"['Castellanos Dolk D', 'Sarakatsianos V', 'Wörner T', 'Östin M', 'Cristiani R', 'Kvist J', 'Stålman A']",Stålman A,Semitendinosus vs quadriceps tendon autograft in anterior cruciate ligament reconstruction (SEQUAR): protocol for a prospective randomized controlled trial.,26,1,951,['English'],100968565,,1471-2474,"['Journal Article', 'Clinical Trial Protocol']",PubMed - indexed for MEDLINE,epublish,"['41083992', 'PMC12519774', 'pmc-id: PMC12519774;', '10.1186/s12891-025-09183-w', '10.1186/s12891-025-09183-w']",10.1186/s12891-025-09183-w,"['2025/03/25 00:00', '2025/09/03 00:00', '2025/10/14 06:29', '2025/10/14 06:28', '2025/10/14 00:23', '2025/10/13 00:00']",[],1,60,BMC musculoskeletal disorders,doi: 10.1186/s12891-025-09183-w,2025 Oct 13;26(1):951,"BACKGROUND: Anterior cruciate ligament (ACL) rupture is a devastating injury for most individuals, especially in athletes with the desire to go back to pivoting sports. In ACL reconstruction (ACL-R), multiple autograft options are available, each with distinct advantages and limitations. The quadriceps tendon (QT) autograft has gained increasing attention due to its favorable biomechanical properties and lower donor site morbidity, yet studies comparing only athletic populations remains limited. This study protocol describes a randomized controlled trial (RCT) aiming to compare QT autograft with bone-block (QT-B) with semitendinosus tendon (ST) autograft in athletes undergoing primary ACL-R. METHODS: This is a single center RCT. Two Hundred ACL-R patients aged 16-40 years with a Tegner Activity Scale (TAS) of >/= 7 prior to the ACL injury will be randomized to receive either a ST graft or a QT-B graft at the time of ACL-R. All participants will receive standard postoperative care and rehabilitation, followed by comprehensive follow-up. The primary outcome was the side-to-side (STS) difference in anterior tibial translation (ATT) at 6 months. Secondary outcomes include patient-reported outcome measures (PROMs), isokinetic strength testing, imaging-based graft evaluation, surgical and clinical events, and 10-year radiographic evidence of joint degeneration. Detailed definitions and timepoints are provided in the full manuscript (Table 1). DISCUSSION: This protocol is the first RCT comparing the ST autograft to the QT-B autograft exclusively in athletes with TAS >/= 7 undergoing ACL-R. In addition, this trial has the ambition of including 200 patients, thereby making it the largest trial to compare these two grafts to date. The successful completion of the trial has the potential to change current practice and contribute to the existing knowledge regarding graft choice in athletes undergoing ACL-R. TRIAL REGISTRATION: The trial is registered at ClinicalTrials.gov: NCT04295148. Registered date: 4 Mar 2020 (retrospectively registered).",2025
10,41018256,2025 Jul,2025 Sep 24,J Exp Orthop,"['Martinez-Cano JP', 'Gallego A', 'Cuadros J', 'Ibarra L', 'Mejía FM', 'Velasquez-Hammerle MV', 'Martinez-Rondanelli A']",Martinez-Rondanelli A,Similar results with quadrupled semitendinosus and semitendinosus-gracilis graft in anterior cruciate ligament reconstruction: A randomised controlled trial with 2-year follow-up.,12,3,e70399,['English'],101653750,2197-1153,2197-1153,['Journal Article'],PubMed,,"['41018256', 'PMC12460705', 'pmc-id: PMC12460705;', '10.1002/jeo2.70399', 'JEO270399']",10.1002/jeo2.70399,"['2025/04/11 00:00', '2025/06/05 00:00', '2025/06/18 00:00', '2025/09/29 13:19', '2025/09/29 13:18', '2025/09/29 06:41', '2025/09/24 00:00']",[],1,33,Journal of experimental orthopaedics,doi: 10.1002/jeo2.70399,2025 Jul;12(3):e70399,"PURPOSE: to compare quadrupled semitendinosus (STx4) with semitendinosus-gracilis graft in anterior cruciate ligament (ACL) reconstruction surgery. METHODS: Parallel randomised controlled trial with two groups of treatment (n = 42) in primary ACL reconstruction surgery. Follow-up during 2 years after surgery with visits at 3, 6, 12 and 24 months. Primary outcome: quadriceps and hamstrings strength in newtons (N). Secondary outcomes: ACL re-rupture, additional surgeries, return to sport and patient-reported outcomes (PROMs): knee injury and osteoarthritis outcome score (KOOS), International Knee Documentation Committee (IKDC) and Tegner-Lysholm. RESULTS: There was 1/21 ACL re-rupture for STx4 and 2/21 for the control group (p = 0.9). One additional surgery for each group: ACL revision (control group) and meniscectomy (STx4). There were no other complications and no differences in PROMs between grafts, except for Tegner-Lysholm at 3 months, that favoured the STx4 group (76.0, confidence interval [CI]: 56.0-86.0 vs. 85.0, CI: 77.0-93.0), p = 0.04. The median surgery satisfaction was good in both groups STx4 (95%, interquartile range (IQR): 90%-98%) and ST-G (98%, IQR: 95%-100%) (p = 0.13). Return to sport was 90% (n = 19) for the STx4 group and 81% (n = 17) for the ST-G group (p = 0.37). Quadriceps strength recovered sooner (6 months) than hamstrings (24 months) in both groups. There were no statistically significant differences in strength between STx4 and ST-G at final follow-up (hamstrings in flexion [mean +/- SD]: 173 +/- 53 N vs. 166 +/- 51 N, p = 0.7; hamstrings in extension: 204 +/- 61 N vs. 199 +/- 64 N, p = 0.8; quadriceps in flexion: 217 +/- 42 N vs. 209 +/- 47 N, p = 0.6; quadriceps in extension: 193 +/- 51 N vs. 191 +/- 46 N, p = 0.9). CONCLUSIONS: This study found no statistically significant differences at 2 years between a STx4 and a ST-G graft configuration for primary ACL reconstruction regarding strength, PROMs, return to sport, failure rates and complications; larger studies are required to confirm noninferiority. Clinical Trials number: NCT03433170. LEVEL OF EVIDENCE: Level I.",2025
